inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21
1,20,2,1800.118357181549,17.961037714023067,30.891556978225708,17.961037714023067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,2,1801.3304343223572,21.347403576317085,68.02715826034546,21.86323610496202,619.3902668952942,21.821341378364508,1158.1811125278473,21.801288201254053,1532.9470834732056,21.347403576317085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,2,1800.2468662261963,18.653237093177776,8.588386535644531,18.65323796179971,148.06980681419373,18.653237326190546,573.2062385082245,18.653237093177776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,2,1800.2445042133331,17.63818556970888,1.8778479099273682,17.638186705231995,36.15605926513672,17.638186025677697,148.50493144989014,17.638185874322097,553.6506507396698,17.63818556970888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,2,1800.9444863796234,18.549978731743725,51.01946020126343,18.880785754918154,54.05264163017273,18.836804084308262,236.83970522880554,18.813229253381863,489.70245933532715,18.598745613886532,1685.779543876648,18.55712467429936,1775.5015778541565,18.549978731743725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,2,1800.2393140792847,14.681413772300619,20.21621084213257,14.865855502159263,47.251044511795044,14.764530121404324,107.21696257591248,14.706243645650567,127.79529476165771,14.681413772300619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,2,1800.8105833530426,21.57307644727335,63.647592067718506,21.975097320652573,206.6659495830536,21.92669658488039,514.9473299980164,21.57307644727335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,2,1800.573558807373,25.199911103233504,60.847442865371704,25.808002515758318,120.33802723884583,25.606266708962988,153.42239594459534,25.589354837308367,176.56628513336182,25.445596866500516,293.9683918952942,25.333663177769175,776.7169625759125,25.26864821727046,830.5331258773804,25.23867036939319,1405.395845413208,25.199911103233504,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20,2,1800.51881814003,14.00823575971818,59.543089151382446,14.471246232485065,86.46700048446655,14.383473033255386,104.14147019386292,14.358386788910526,126.46679520606995,14.014394290898272,782.3936483860016,14.00823575971818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,2,1800.1411819458008,20.749717935335568,21.429141759872437,21.181191361457216,157.69250512123108,21.17916502129355,223.35929799079895,21.174792302654595,325.25140738487244,20.986058939451272,368.2837507724762,20.855651554022963,1096.5343220233917,20.749717935335568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20,2,1800.290710926056,19.315408267895037,19.976314067840576,19.4562863071013,76.56409358978271,19.425136748497522,100.24452924728394,19.332721321894212,475.9127426147461,19.322119378373202,1481.2516407966614,19.315408267895037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,2,1800.3935244083405,18.57136344488669,9.474887609481812,18.571364298712794,71.70015335083008,18.57136349554892,139.42528176307678,18.57136344488669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20,2,1800.802182674408,20.167786495874452,113.21440982818604,20.167786495874452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20,2,1800.8357021808624,23.665980305465077,116.52529263496399,23.990036134095035,132.42928910255432,23.9546266980586,190.15067887306213,23.81199758842963,317.94829392433167,23.665980305465077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20,2,1800.6740000247955,18.04190596364662,42.58996820449829,18.233682165265293,237.81657338142395,18.093637668126277,490.5891127586365,18.04190596364662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,2,1800.0036981105804,15.825056624620283,5.716778755187988,15.82505823254736,175.42302560806274,15.825056624620283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20,2,1801.052154302597,17.925552438165894,51.52092218399048,17.925552438165894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20,2,1800.0642368793488,17.26888839870304,19.83498740196228,17.491325244095467,109.56302762031555,17.491324107624862,127.340416431427,17.34662462593852,213.4448857307434,17.339324201887624,283.8748641014099,17.331139935421092,421.04368925094604,17.26888839870304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,2,1801.0824084281921,17.359564724597575,20.62084197998047,17.54593081373913,69.59039759635925,17.359564724597575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,2,1800.1203181743622,18.090359483266962,7.916656970977783,18.517189092231938,19.617573261260986,18.50995119408462,23.97963285446167,18.240502599017375,60.674076795578,18.192475543369397,1543.0366322994232,18.090359483266962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,2,1800.0914137363434,16.884053142552304,8.833075046539307,16.884053929743878,246.51335501670837,16.884053142552304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20,2,1800.0880646705627,15.341291283847212,1.367377758026123,15.34129247833272,1089.0694770812988,15.341291680852969,1287.5953631401062,15.341291283847212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20,2,1800.1225724220276,16.464887633129404,15.396918535232544,16.700402458618704,73.8069474697113,16.55927171927925,96.7445125579834,16.495639848607247,455.23816084861755,16.472424021447164,540.7763872146606,16.464887633129404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
