inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19
1,20,2,2,-1,5,10,1447.500877380371,4.8068770705378485,3.4680874347686768,4.861939814788048,7.917191028594971,4.861939814788048,20.021806955337524,4.838652179716494,338.61127734184265,4.8068770705378485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,2,2,-1,5,10,1800.7594928741455,4.747996980770868,11.147902488708496,4.747997321757177,17.640457153320312,4.747997321757177,45.807279109954834,4.747997168702465,69.47321915626526,4.747997109969975,152.7275369167328,4.747996980770868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,2,2,-1,5,10,1800.09423494339,4.707017749802622,11.499492645263672,4.7127056740780855,18.91919493675232,4.7127056740780855,427.3948178291321,4.712705535667698,584.2617163658142,4.709053562447181,910.5621263980865,4.707017749802622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,2,2,-1,5,10,1800.3857583999634,4.899665886817039,9.49260950088501,4.911673941477963,30.808699369430542,4.911673941477963,1226.8326227664948,4.899665886817039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,2,2,-1,5,10,1800.4259703159332,4.74170321754308,3.0327770709991455,4.741704176585929,8.096474647521973,4.741704176585929,104.32000946998596,4.74170413115306,140.1917223930359,4.74170373256241,504.2084791660309,4.741703698671597,505.55817461013794,4.741703640151127,1120.4167833328247,4.74170321754308,,,,,,,,,,,,,,,,,,,,,,,,
6,20,2,2,-1,5,10,1800.2216000556946,4.598749678056521,7.839454412460327,4.598750069410456,11.504437923431396,4.598750069410456,362.30483293533325,4.598749808778398,592.826014995575,4.598749678056521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,2,2,-1,5,10,1800.420607328415,4.7267956436821645,10.650275707244873,4.806482728353528,19.284789085388184,4.806482728353528,26.462018728256226,4.7324721439621085,50.10634231567383,4.7267956436821645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,2,2,-1,5,10,1800.0551364421844,4.508743533751581,5.853153705596924,4.613436984934028,16.46927523612976,4.613272097534454,16.46946358680725,4.613272097534454,28.086242198944092,4.602355208063578,64.07661008834839,4.512395900014819,363.6209411621094,4.508743533751581,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20,2,2,-1,5,10,1800.1116073131561,4.634034281267799,19.189268350601196,4.736580928515141,37.67085337638855,4.716574157025878,37.671064376831055,4.716574157025878,201.17744159698486,4.698159598769488,443.22087001800537,4.647252068945016,463.59697365760803,4.635203689991602,473.5744812488556,4.634034281267799,,,,,,,,,,,,,,,,,,,,,,,,
10,20,2,2,-1,5,10,1800.7017691135406,4.641283634857111,3.333871841430664,4.641283913559535,7.613881826400757,4.641283913559535,460.91885924339294,4.641283634857111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20,2,2,-1,5,10,1800.0422577857971,4.756883647470651,4.9516613483428955,4.75688423253667,8.69272494316101,4.75688423253667,243.2716166973114,4.7568839750629595,359.2893280982971,4.756883914570125,737.2961478233337,4.756883727731104,1220.2301597595215,4.756883647470651,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,2,2,-1,5,10,1800.5818417072296,5.100977725476976,7.660798072814941,5.158445266397456,24.479609489440918,5.158445266397456,94.13345837593079,5.100977725476976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20,2,2,-1,5,10,1800.4940502643585,4.505543437290412,5.060726881027222,4.5843597038902155,13.110405445098877,4.5843597038902155,114.26992273330688,4.584359222351961,273.0982754230499,4.532908392573764,410.40194296836853,4.517430654320073,948.1653306484222,4.506902234124515,1163.5120432376862,4.505543437290412,,,,,,,,,,,,,,,,,,,,,,,,
14,20,2,2,-1,5,10,1800.310923576355,4.6611069378064105,12.349939346313477,4.6611073518237,19.3336284160614,4.6611073518237,415.3059253692627,4.661107030531977,903.9561109542847,4.6611069378064105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20,2,2,-1,5,10,1800.3002443313599,4.4203165544435,14.870845317840576,4.4203165544435,28.0410258769989,4.4203165544435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,2,2,-1,5,10,1800.0232300758362,4.643986600379907,9.35680341720581,4.720217996986036,27.54579448699951,4.720217996986036,248.97147464752197,4.7023945808133485,485.8978192806244,4.683601809908924,742.2312381267548,4.646052298182264,855.8111176490784,4.643986600379907,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20,2,2,-1,5,10,1800.1868243217468,4.606309228584872,1.6284687519073486,4.634397999309866,5.19197154045105,4.634397999309866,97.09914064407349,4.606309228584872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20,2,2,-1,5,10,1800.508537530899,4.675255916423177,6.223590612411499,4.675256662821864,9.978458881378174,4.675256662821864,307.232736825943,4.6752561929100445,847.0437469482422,4.675255916423177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,2,2,-1,5,10,1800.0616710186005,4.663621551863096,6.267600774765015,4.6636218588797504,11.50373363494873,4.6636218588797504,1037.0425581932068,4.663621684429402,1563.9768879413605,4.663621551863096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,2,2,-1,5,10,134.42945051193237,4.493932165549518,0.6080057621002197,4.4939325130256655,1.7157573699951172,4.4939325130256655,69.51205587387085,4.493932165549518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,2,2,-1,5,10,1800.548724412918,4.7247211770839375,9.245151281356812,4.724722390543215,20.941494464874268,4.724722390543215,53.98563098907471,4.724721908777871,218.28948831558228,4.724721427012527,1512.841299533844,4.7247211770839375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20,2,2,-1,5,10,1800.1501002311707,4.444875465759757,24.173598051071167,4.5479579487873885,65.55018496513367,4.5479579487873885,378.408704996109,4.515490703857016,695.1697294712067,4.481285252021983,1426.8389630317688,4.444875465759757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20,2,2,-1,5,10,1800.4276158809662,4.556513960501127,4.106981039047241,4.598335176789193,9.840209245681763,4.598335176789193,52.48801779747009,4.556513960501127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20,2,2,-1,5,10,1800.204317331314,4.45235146760646,16.38990092277527,4.510631161902368,24.744677782058716,4.510631161902368,47.69237303733826,4.490980407922146,80.86981058120728,4.490847059483719,176.91378498077393,4.471674621361602,285.5695538520813,4.4641145814720975,1166.024388551712,4.45235146760646,,,,,,,,,,,,,,,,,,,,,,,,
25,20,2,2,-1,5,10,1800.2013463974,4.539455483471964,0.8846383094787598,4.539455975274212,3.091721296310425,4.539455975274212,10.122473239898682,4.539455620352072,48.851027727127075,4.53945549547456,411.3022723197937,4.539455483471964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20,2,2,-1,5,10,1800.1786751747131,4.636126382494063,10.941033363342285,4.800258724278642,20.536120891571045,4.800258724278642,27.732263803482056,4.636126382494063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,20,2,2,-1,5,10,1800.1504571437836,4.427992086396787,4.002448797225952,4.427992457360049,7.064826011657715,4.427992457360049,679.5083699226379,4.427992324979929,800.132034778595,4.427992216192405,803.606360912323,4.427992117545036,1330.9140973091125,4.427992086396787,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20,2,2,-1,5,10,1800.0221765041351,4.84639512625652,10.043498516082764,4.84639560403923,29.48139786720276,4.84639560403923,638.9133124351501,4.84639512625652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,20,2,2,-1,5,10,1800.0986716747284,4.856671050983557,6.544404745101929,4.961649134535201,13.153492450714111,4.961649134535201,55.76396465301514,4.930543857443674,759.8064577579498,4.856671050983557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20,2,2,-1,5,10,1800.0452628135681,4.640418980627557,6.108439683914185,4.734504455107464,15.36939263343811,4.734504455107464,24.22884225845337,4.66451953904758,104.1826069355011,4.657085329914508,1324.497977733612,4.640418980627557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20,2,2,-1,5,10,1800.5335936546326,4.597672396964427,15.624801874160767,4.693179020639221,24.922496557235718,4.693179020639221,121.48132681846619,4.686157385344349,170.0806074142456,4.670149521427557,353.7656104564667,4.662406106497217,443.30244040489197,4.649304742677945,454.86907625198364,4.625877589388792,1273.0710799694061,4.597672396964427,,,,,,,,,,,,,,,,,,,,,,
32,20,2,2,-1,5,10,1800.513680934906,4.77156018831406,5.819336414337158,4.866648464895123,15.313527822494507,4.848788053091501,15.313744306564331,4.848788053091501,111.37160754203796,4.787560526178639,177.87132501602173,4.774161349460554,488.57436752319336,4.77156018831406,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20,2,2,-1,5,10,1800.523760318756,4.659731513765795,4.506692886352539,4.659732118738165,7.314025163650513,4.659732118738165,180.3595643043518,4.65973193600957,214.43448972702026,4.659731908599035,478.56690645217896,4.659731855015082,906.5720727443695,4.659731513765795,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20,2,2,-1,5,10,1800.269174337387,4.466284266045786,7.75017786026001,4.466284583685436,16.5072181224823,4.466284583685436,538.4008905887604,4.466284371739262,873.9119009971619,4.466284266045786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20,2,2,-1,5,10,1800.3559370040894,4.6942319574715885,6.78753662109375,4.756072108822408,12.404309034347534,4.756072108822408,32.51977562904358,4.748482428910325,39.13870167732239,4.720913469796574,48.71873688697815,4.694232018914138,467.1770603656769,4.6942319574715885,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20,2,2,-1,5,10,1800.1062841415405,4.512990285493939,27.904488563537598,4.53815658357444,49.247857332229614,4.53815658357444,398.11732292175293,4.512990285493939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20,2,2,-1,5,10,1800.2741601467133,4.415897624333441,4.539942979812622,4.4158978313689445,11.078378915786743,4.4158978313689445,339.5646848678589,4.415897624333441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
