inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21,time_22,obj_22,time_23,obj_23,time_24,obj_24,time_25,obj_25,time_26,obj_26,time_27,obj_27,time_28,obj_28,time_29,obj_29,time_30,obj_30,time_31,obj_31,time_32,obj_32
1,10,6,6,5,5,2,1800.0172176361084,-2.6434346524147787,1.3376119136810303,-1.6865703370535354,2.2379140853881836,-2.0933925431048572,4.152616739273071,-2.0933925431048572,7.025511980056763,-2.158059215654288,10.39358901977539,-2.2242182693075794,12.06455683708191,-2.261387597978078,15.43753957748413,-2.291062798790031,20.63814949989319,-2.320391931592765,21.5768141746521,-2.41925862956857,34.457892179489136,-2.485201119552442,52.60171318054199,-2.4963960329873514,73.28263640403748,-2.500404997838058,87.10851621627808,-2.5030738559665187,91.60850405693054,-2.506314513428815,105.07729077339172,-2.508014216413835,180.72407579421997,-2.555261042304058,240.65358138084412,-2.5558559140438417,517.8520476818085,-2.561968124346194,874.3510513305664,-2.5857294163014877,876.0748248100281,-2.588284989468337,884.7284705638885,-2.6225092253952025,1066.027586698532,-2.6434346524147787,,,,,,,,,,,,,,,,,,,,
2,10,6,6,5,5,2,1800.1309072971344,-3.5595884871335643,1.6315045356750488,-3.210189969144369,3.5402274131774902,-3.210189969144369,28.30990505218506,-3.2120289594538525,74.14721369743347,-3.3802243405312344,85.22878050804138,-3.3953965135509674,241.96393179893494,-3.401145052094456,245.42884922027588,-3.415226079011336,276.9182860851288,-3.484780043076581,614.4481723308563,-3.492728281929536,656.0120828151703,-3.5373061125287233,1232.4264740943909,-3.5595884871335643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,6,6,5,5,2,1800.0214953422546,-4.011902863169549,2.088890552520752,-2.510294241283607,2.9970545768737793,-2.8010009801234106,4.039828777313232,-3.182518068561249,6.694277286529541,-3.182518068561249,8.892722129821777,-3.3613099810629388,9.700320959091187,-3.4640381938165428,10.56956434249878,-3.7207230122626536,75.24288964271545,-3.7304090894922397,101.28013753890991,-3.738376189011995,114.10128808021545,-3.8319575842658673,213.09328269958496,-3.8821655767043186,500.50832891464233,-3.9046140540626912,542.6126568317413,-3.9495999219267506,854.8631701469421,-3.9685628149164263,903.9078109264374,-4.011902863169549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,6,6,5,5,2,1800.120451927185,-2.9208588266262603,1.59378981590271,-1.959955804847165,1.8825209140777588,-2.0064605321716744,4.707171678543091,-2.078948328104163,4.707331418991089,-2.078948328104163,5.555919170379639,-2.584900197050222,18.587864875793457,-2.652043239076816,23.16467022895813,-2.6874980926445824,23.760637283325195,-2.746528699023654,42.322500228881836,-2.762572047888617,76.72847127914429,-2.8513052888545145,317.9183020591736,-2.8695991720750196,456.3643207550049,-2.8711278427101097,822.5652630329132,-2.889750209936869,912.5778625011444,-2.9208588266262603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,6,6,5,5,2,1800.2593216896057,-4.2244289756047495,1.6051914691925049,-2.069699275654637,2.480257272720337,-2.951203180941989,2.9650137424468994,-3.3010715781461433,4.942383527755737,-3.3010715781461433,5.227830171585083,-3.333831517471985,9.417371034622192,-3.3690932770197435,9.889092206954956,-3.3988216159563907,25.875845909118652,-3.4390106422432654,28.231244802474976,-3.547566155862116,33.556920528411865,-3.6758925405030336,56.298707246780396,-3.8134911236378954,59.95144176483154,-4.040071505166455,191.8092110157013,-4.041582190990854,261.2590069770813,-4.065344763496798,289.4555401802063,-4.166883899110079,492.28391098976135,-4.193255593568091,787.5546658039093,-4.220743249236137,1126.5977318286896,-4.220919829939143,1219.3754153251648,-4.2244289756047495,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,6,6,5,5,2,1800.017415523529,-4.1917075825508014,1.2776250839233398,-2.0209940473369166,1.5935416221618652,-3.153988657063844,4.588042497634888,-3.5860609099568896,4.5881757736206055,-3.5860609099568896,12.019171714782715,-3.626691693714205,16.06507110595703,-3.729291146556893,24.019620180130005,-3.735158189851423,32.24647641181946,-3.8000889586953437,32.77504062652588,-3.8102699069543906,44.48963928222656,-3.854249790578889,46.633187770843506,-3.864182293573063,55.59235906600952,-3.925938187503806,94.12415719032288,-4.032307719906699,98.53399562835693,-4.059246606866896,150.62285470962524,-4.084090971643866,205.45397472381592,-4.091513385838514,224.50448966026306,-4.120271644121854,258.85421991348267,-4.1312381382718435,541.2832219600677,-4.1528041925423524,1262.2459125518799,-4.1917075825508014,,,,,,,,,,,,,,,,,,,,,,,,
7,10,6,6,5,5,2,1800.0491271018982,-2.969076680671309,1.3937249183654785,-1.4562065489876497,2.4679312705993652,-2.20397954565718,3.664213180541992,-2.347941502506208,4.585175275802612,-2.347941502506208,7.908119440078735,-2.4549539524690744,9.812865495681763,-2.508655169366116,11.578530311584473,-2.5189419933246935,18.017884492874146,-2.5452284508599483,18.20820713043213,-2.7023689805048297,24.704241037368774,-2.7468916905330962,69.64405846595764,-2.8639067250522072,132.66808032989502,-2.918034916446939,595.8216533660889,-2.9585098308197266,1224.4002833366394,-2.969076680671309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,6,6,5,5,2,1800.152549982071,-3.927376496913741,1.310767412185669,-2.598879615759519,4.37051248550415,-2.8739850804708666,4.370655536651611,-2.8739850804708666,7.619421482086182,-3.222833895069066,10.872368574142456,-3.3929775427142186,22.882979154586792,-3.4438028205492777,27.60831594467163,-3.663237686372306,82.43795895576477,-3.680113099519523,89.79295539855957,-3.7161415088969765,96.6703085899353,-3.797126951156515,690.2594673633575,-3.817415708548157,889.7961831092834,-3.8477394654128036,1206.2769620418549,-3.874210895875011,1581.1245243549347,-3.8909754668140364,1642.6643960475922,-3.927376496913741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,6,6,5,5,2,1800.0004482269287,-3.3363408487460555,1.2659757137298584,-2.5707817331506124,2.839797258377075,-2.6020234301646608,3.6525332927703857,-2.6020234301646608,4.942996025085449,-2.9108862878831037,8.664661407470703,-2.927628938454218,9.696728467941284,-2.983507306722278,20.53226375579834,-3.0752765108868294,36.21713876724243,-3.110622057599828,54.18450975418091,-3.154085642149154,66.728360414505,-3.157974633611561,142.7632999420166,-3.1673714371979242,266.6925413608551,-3.1900769380891645,406.91599798202515,-3.2114442516363613,482.9272904396057,-3.2769282186694118,529.9484813213348,-3.2909734026710495,571.2665777206421,-3.29824633219085,1183.0017549991608,-3.3363408487460555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,6,6,5,5,2,1800.102275133133,-2.910237580307093,1.7053494453430176,-2.2572550596119534,4.196547269821167,-2.3964927267950755,4.196686506271362,-2.3964927267950755,8.385765314102173,-2.5788208442149214,11.075141191482544,-2.739164952832855,64.76133298873901,-2.8276612396120497,451.49078726768494,-2.838502006484292,689.5952153205872,-2.910237580307093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
