inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21,time_22,obj_22,time_23,obj_23,time_24,obj_24,time_25,obj_25,time_26,obj_26,time_27,obj_27,time_28,obj_28,time_29,obj_29,time_30,obj_30,time_31,obj_31,time_32,obj_32,time_33,obj_33,time_34,obj_34,time_35,obj_35,time_36,obj_36,time_37,obj_37,time_38,obj_38,time_39,obj_39,time_40,obj_40,time_41,obj_41,time_42,obj_42,time_43,obj_43,time_44,obj_44,time_45,obj_45,time_46,obj_46,time_47,obj_47,time_48,obj_48,time_49,obj_49,time_50,obj_50,time_51,obj_51,time_52,obj_52,time_53,obj_53,time_54,obj_54,time_55,obj_55,time_56,obj_56,time_57,obj_57,time_58,obj_58,time_59,obj_59,time_60,obj_60,time_61,obj_61,time_62,obj_62,time_63,obj_63,time_64,obj_64
1,10,3,3,40,5,1,1800.0891382694244,-2.364454453055479,0.8033971786499023,-1.3193567044565857,2.1720054149627686,-1.8980636016855563,2.6830482482910156,-1.8980636016855563,5.492528915405273,-1.9818336363664786,12.210861921310425,-2.010008288121951,16.886037349700928,-2.0119002966993538,18.49084448814392,-2.0398941432618045,20.099640369415283,-2.0435451840992584,30.428733110427856,-2.2572675318102964,92.06851315498352,-2.2573577993574165,94.62834787368774,-2.263873558220041,101.39068984985352,-2.3075412635955477,192.41377353668213,-2.3084054223554267,193.2243812084198,-2.312323142325005,213.43205761909485,-2.342279328258446,213.92484402656555,-2.3424566341525987,223.029146194458,-2.354821968158249,288.5148558616638,-2.3553016244885474,356.6911826133728,-2.3553586365655588,397.96149730682373,-2.3598828910043936,432.46695041656494,-2.3616866867182873,554.5381810665131,-2.3618760939250123,564.3272938728333,-2.3618877830823117,664.9740109443665,-2.361901812944958,691.5509757995605,-2.361930787838291,730.8660206794739,-2.3619496544310468,739.0109643936157,-2.3639726195767015,805.1254365444183,-2.363977666856258,1001.1226501464844,-2.3641024313494756,1087.8769869804382,-2.3642141678804514,1098.0329780578613,-2.364454453055479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,3,3,40,5,1,1800.3226273059845,-3.156535853634804,0.6073217391967773,-2.3844187935483103,1.438814640045166,-2.598781645418909,1.8691163063049316,-2.623495068293624,2.7411792278289795,-2.653905301353865,2.7412612438201904,-2.653905301353865,4.855896711349487,-2.8918455566608374,10.127368450164795,-2.91333125504199,10.777979612350464,-2.9249899883873827,19.169647693634033,-2.930265367193114,21.247307538986206,-2.9538599231974403,27.801917552947998,-2.9725791024175705,34.51068377494812,-2.9872728615052706,36.769299030303955,-3.040630944677767,48.115947008132935,-3.1257557479291895,61.38197875022888,-3.1257754035031478,66.13577270507812,-3.126187437020518,68.60908126831055,-3.126294843150942,72.04885935783386,-3.128891462601666,125.4095094203949,-3.1322635950519566,134.15874075889587,-3.150549977487898,171.5437409877777,-3.1537331447562433,195.22730088233948,-3.1537645523462183,213.75614166259766,-3.1540153359102194,227.30559945106506,-3.1540681203892977,247.75929737091064,-3.1541076689037757,250.44275283813477,-3.155842995228334,612.0149693489075,-3.1559641165712513,1489.5660891532898,-3.1560286346075337,1757.482727766037,-3.156535853634804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,3,3,40,5,1,1800.055980682373,-3.5434809686780726,1.152836799621582,-2.75232759790163,2.219066619873047,-2.75232759790163,5.3349854946136475,-2.8543508196024177,5.725640535354614,-3.002248572506397,7.143719673156738,-3.043346102983917,8.876567125320435,-3.0470801731454498,13.3538076877594,-3.0933887716233337,45.8982994556427,-3.1623218222778067,83.50136828422546,-3.23937399533559,85.22427010536194,-3.355013667375234,94.12768459320068,-3.409118148622902,125.0074954032898,-3.4319534449169486,141.5124831199646,-3.4706588903971514,168.00636076927185,-3.4944619087179616,196.28299713134766,-3.5093036949393097,201.413654088974,-3.514369657126823,231.18780422210693,-3.5199687658705514,292.34552574157715,-3.5243004771269906,296.3147249221802,-3.531107032784496,309.4413204193115,-3.5347642361426415,474.7887864112854,-3.537531079066407,610.2625346183777,-3.538369010938991,637.9174814224243,-3.5384052501160745,644.5397751331329,-3.5387159113646627,682.4896247386932,-3.538756975957032,791.1029736995697,-3.539625717042348,797.4160213470459,-3.539837468951664,1031.8740785121918,-3.540312809248714,1124.258222103119,-3.540430353761732,1130.8811705112457,-3.540541990366292,1143.8029344081879,-3.5413098508631258,1204.5183928012848,-3.5420900469939025,1387.118373632431,-3.5430377545109724,1477.8302319049835,-3.5434419313239514,1749.7830595970154,-3.5434809686780726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,3,3,40,5,1,1800.1129758358002,-2.476122317411102,1.071042776107788,-2.3113744938721914,2.676535129547119,-2.3113744938721914,6.266105651855469,-2.367973130259701,9.700146675109863,-2.396291485575654,23.282049417495728,-2.3985240050506627,30.53712010383606,-2.422149330566175,36.89502310752869,-2.422733997119993,47.787261962890625,-2.422856223521112,52.58620023727417,-2.422869608642841,54.397518157958984,-2.422920191448611,75.0754988193512,-2.4242962699047723,99.90617680549622,-2.4247245653061706,118.6435604095459,-2.425429507993387,139.21277332305908,-2.4267623515331316,152.94645261764526,-2.4276310028371855,162.41340041160583,-2.4288717155878885,163.36484479904175,-2.429355613570671,165.21861004829407,-2.43397035954437,193.86637902259827,-2.435574660883186,223.86383485794067,-2.4360515557778877,260.3882532119751,-2.4361198695249944,469.2072832584381,-2.4362717276924615,524.4589421749115,-2.4364621701970117,721.4759519100189,-2.4365704167771463,762.6869373321533,-2.4366415134456054,1171.2980506420135,-2.436645758852328,1179.2349376678467,-2.4366739728857665,1244.357903957367,-2.4388228237250003,1715.345140695572,-2.476122317411102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,3,3,40,5,1,1800.1639895439148,-3.882340400642697,0.6185421943664551,-2.0696992756546018,1.591062068939209,-2.887217818621091,4.865521192550659,-3.206558592910626,4.865596294403076,-3.206558592910626,8.467357158660889,-3.3538794238663225,9.348463773727417,-3.533061941522843,14.17374062538147,-3.55890625461703,23.882455110549927,-3.6156976084285715,49.44970464706421,-3.6315287352222785,76.22300243377686,-3.703136992710376,83.35462832450867,-3.7477645837144045,86.77548909187317,-3.762346207070258,109.03704166412354,-3.7846281338574834,129.9373779296875,-3.804358598855664,185.96707725524902,-3.829246604410554,194.7410752773285,-3.8323277330111605,286.8045482635498,-3.839038431217089,293.3530855178833,-3.8408397218490515,347.60319471359253,-3.853969421941374,587.3942458629608,-3.8632726217352267,913.2696352005005,-3.8746406019415582,914.5649418830872,-3.875418970405608,1139.7120616436005,-3.881650569392317,1176.875696182251,-3.881720110475399,1289.5170361995697,-3.882340400642697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,3,3,40,5,1,1800.0432143211365,-3.7991137312112726,0.7258749008178711,-2.8602989310179425,2.1976633071899414,-3.293140901163876,2.9704766273498535,-3.293140901163876,7.433671236038208,-3.295372638797268,10.200963735580444,-3.406196211265459,14.78902554512024,-3.421044504955153,16.652166843414307,-3.422686756970749,20.83349061012268,-3.4227218305730043,23.56325602531433,-3.4228213214414622,25.10443949699402,-3.566396817398024,38.027663707733154,-3.5787292178670804,53.13747239112854,-3.6383535692862696,92.50617408752441,-3.6797170002441413,104.5265200138092,-3.6863148290097167,115.92696762084961,-3.714493800359138,135.02704000473022,-3.720375232412977,163.5603222846985,-3.7253767659117427,171.42918062210083,-3.725911742856699,176.27494955062866,-3.7707664014817626,278.832181930542,-3.775818827080685,493.9345369338989,-3.7810454227171526,592.2989294528961,-3.782345242788112,631.0695507526398,-3.7863638552348586,686.0709712505341,-3.790595411558214,929.8116452693939,-3.7922416665785814,996.8622016906738,-3.7960689906561815,1113.0784013271332,-3.796074096874083,1114.3260889053345,-3.7980457207443727,1141.7390086650848,-3.798346688987662,1168.678482055664,-3.798858659135453,1361.133940935135,-3.7988741191828623,1372.4503128528595,-3.7988876989574227,1448.2170238494873,-3.7989256728001113,1500.3636145591736,-3.7990347673390703,1667.4624500274658,-3.7990641336171835,1677.462991476059,-3.799090312972397,1684.4472253322601,-3.7991137312112726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,3,3,40,5,1,1800.0004658699036,-2.686859024411528,1.194763422012329,-2.027245645623464,1.7703845500946045,-2.0957733937079,2.910454034805298,-2.129490550677267,3.4603054523468018,-2.129490550677267,7.358137130737305,-2.1859746761038936,8.709600448608398,-2.2923697120443287,21.708475828170776,-2.3932362742324824,35.24497961997986,-2.4034968418302065,48.029271602630615,-2.4060153768441426,54.75119948387146,-2.4473250551498915,79.33838319778442,-2.4544275868963954,208.63999104499817,-2.4627170080430774,260.12316060066223,-2.466953287511175,268.82154846191406,-2.4771746959760703,477.4866943359375,-2.5478762253424825,483.2748746871948,-2.567481893588865,537.0430450439453,-2.578424102501074,556.4790930747986,-2.610788380136763,641.5253431797028,-2.6242384715981593,663.9924325942993,-2.6257131841061283,716.8764960765839,-2.6262322345773446,759.179235458374,-2.646074386100709,762.4320166110992,-2.646106313271119,774.5820140838623,-2.661481504016248,835.4367666244507,-2.6644141049616863,903.4987444877625,-2.673610304692604,907.2474677562714,-2.67854357104149,937.9240698814392,-2.679603971443007,976.0872464179993,-2.6821299069607027,1523.056434392929,-2.682261989602174,1577.1539072990417,-2.686859024411528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,3,3,40,5,1,1800.0632543563843,-3.5528492977659103,0.9588820934295654,-3.0016116135878836,4.3527512550354,-3.0016116135878836,5.267310857772827,-3.1695346379820863,53.66884207725525,-3.1790084616586576,99.69021677970886,-3.189702568924735,107.31372237205505,-3.203051152266788,224.12307262420654,-3.304452999010694,366.2750668525696,-3.43175679589658,387.3337094783783,-3.4521571565509843,428.1500663757324,-3.4536146188022157,429.7230713367462,-3.4597474369841414,499.09027123451233,-3.462482390390887,567.6922354698181,-3.474672973499667,619.9364280700684,-3.4752728083318902,621.4511103630066,-3.4779537636390985,621.8949172496796,-3.478562898613513,648.3598709106445,-3.479051461898836,659.663468837738,-3.479063170715151,669.7265558242798,-3.479214847313772,675.91086769104,-3.4792714219806475,745.9526987075806,-3.479845698560274,749.1512269973755,-3.4799164020375954,763.6422200202942,-3.4799888985936573,796.2492966651917,-3.4843843711744307,811.4762830734253,-3.4845129035546716,823.9325060844421,-3.4876847139140814,1001.5010375976562,-3.534155442348182,1187.7603178024292,-3.542943251143986,1227.8027160167694,-3.543440294505901,1284.2560634613037,-3.5446973623117866,1344.7635736465454,-3.5528492977659103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,3,3,40,5,1,1800.079065322876,-2.988404646338406,0.9098806381225586,-2.440605787380908,2.3445773124694824,-2.4424357113450608,2.5275323390960693,-2.4424357113450608,4.7199320793151855,-2.584132523327158,7.069389343261719,-2.6645726384667063,20.860069036483765,-2.667727357622146,51.299683570861816,-2.689775145551212,71.78232145309448,-2.7337611177558108,79.69388270378113,-2.7592967146140746,82.36500692367554,-2.7594336430950035,83.74007320404053,-2.7609649041107356,91.04579710960388,-2.7616034432964947,108.11083507537842,-2.8931991328838733,132.67578959465027,-2.9302913392858283,142.95677828788757,-2.9770776381179704,321.55322432518005,-2.9879745045428185,410.663104057312,-2.9880781255501128,507.3302204608917,-2.9881720917886314,523.8041536808014,-2.9882573028304127,585.7693226337433,-2.9883345744308807,644.6018416881561,-2.988404646338406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,3,3,40,5,1,323.96755027770996,-2.606633659512996,0.5501368045806885,-1.8247240965632308,1.1116094589233398,-2.2236217987494347,1.6480960845947266,-2.2236217987494347,2.7495639324188232,-2.3092012414641125,4.069142818450928,-2.3142448108784515,5.3276050090789795,-2.5066078290812177,6.813363790512085,-2.5396319714121787,21.86594820022583,-2.58831165081123,63.0162398815155,-2.597448844109545,63.48603081703186,-2.597558195272703,63.87810492515564,-2.6025938181131405,66.3759253025055,-2.603842197718233,84.21834421157837,-2.6055756047538092,104.43386387825012,-2.606195793161588,166.81104969978333,-2.6063024806169413,202.61296820640564,-2.6064113442938943,211.4958095550537,-2.606425497206046,234.82747530937195,-2.6065146113225985,270.76892709732056,-2.606549412961362,271.2556447982788,-2.606633659512996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
